Date,Year,Day,Fisher,Number fishers,Video or Photo,Buyer,Method,Location,Time,First weight,Second weight,Third weight,Lionfish weight,Lobster large weight,Lobster small weight,Octopus weight,Crab weight,Conch weight,Eel weight,First number,Second number,Third number,Lionfish number,Lobster large number ,Lobster small number,Octopus number,Crab number,Conch number,Eel number,1st number snapper,1st number grouper,1st number other,2nd number parrotfish,2nd number snapper,2nd number grouper,2nd number lionfish,2nd number grunt,2nd number other,3rd number parrotfish,3rd number snapper,3rd number grouper,3rd number grunt,3rd number squirrelfish,3rd number other,Other weight,Other number,Region,Notes
30-Jun-13,2013,Sunday,Cua,1,None,As,Free,Unknown,6.25,4.75,15.5,20,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
30-Jun-13,2013,Sunday,Cac,1,None,As,Free,Unknown,6.25,10,15.5,18.5,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
5-Jul-13,2013,Friday,"And, Ces, Mac",3,None,Fe,Compressor,East,4.5,13,12,0,0,1,0,0,0,0,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,Offshore,
5-Jul-13,2013,Friday,"Car, Gua, Mell",3,"CD, 5 Jul 13, 1",An,Compressor,La Banquera de Buen Hombre,5,1.8,20,23,0,0,1.2,0,8,0,0,2,33,103,0,1,1,0,3,0,0,2,0,0,22,1,3,0,0,7,65,0,9,0,22,7,,,Offshore,
5-Jul-13,2013,Friday,Nel,1,"CD, 5 Jul 13, 2",Co,Free,Near Punta Rucia,5.5,4.4,5.5,0.3,0,0,3.6,0,0,0,0,2,11,1,0,0,6,0,0,0,0,1,1,0,9,0,0,2,0,0,0,0,0,0,0,1,0,,Offshore,
5-Jul-13,2013,Friday,Fus,1,"CD, 5 Jul 13, 3",As,Free,Near Punta Rucia,5.5,4.8,12,9.5,0,0,1.2,0,3,0,0,4,17,36,0,0,2,0,1,0,0,0,2,0,17,0,3,0,1,1,19,1,3,0,2,3,0,,Offshore,
5-Jul-13,2013,Friday,Gro,1,"CD, 5 Jul 13, 4",Fe,Free,Sancie,6,1,4,6,0,0,0.5,3,1.25,0,0,1,10,22,0,0,2,0,0,4,0,1,0,0,6,0,0,0,0,4,6,0,0,0,1,15,0,,Eastern,
5-Jul-13,2013,Friday,"Nan, Bet",2,"CD, 5 Jul 13, 5, first",As,Free,La Banquera Seca,6,26.5,26,15,0,0,0,0,0,0,9.5,14,52,33,0,0,0,0,0,0,1,4,9,1,44,2,5,0,0,6,30,0,2,1,0,0,0,,Offshore,
5-Jul-13,2013,Friday,Onie,1,"CD, 5 Jul 13, 5, second",As,Free,La Banquera Seca,6,2.5,9,19,0,0,0,0,0,0,0,3,21,46,0,0,0,0,0,0,0,3,0,0,19,2,0,0,0,0,40,2,1,0,1,2,0,,Offshore,
5-Jul-13,2013,Friday,Wan,1,"CD, 5 Jul 13, 6",Co,Free,Sancie,6,0,2.5,2.5,0,0,1,0,0,0,0,0,6,11,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,4,0,0,0,0,,Eastern,
5-Jul-13,2013,Friday,Nya,1,"CD, 5 Jul 13, 7",Co,Free,Sancie,6,4,2,0.7,0,0,5.4,3.33,0,0.3,0,2,4,6,0,0,9,11,0,1,0,1,0,1,3,0,1,0,0,0,1,1,2,0,2,0,0,,Eastern,
5-Jul-13,2013,Friday,PedCh,1,"CD, 5 Jul 13, 8",Co,Free,Sancie,6,0.4,1.75,5.5,0,0,1.6,0,0,0,0,1,5,24,0,0,2,0,0,0,0,0,0,1,4,1,0,0,0,0,19,0,1,0,4,0,0,,Eastern,
9-Jul-13,2013,Tuesday,"And, Ces, Jes",3,"CD, 9 Jul 13, 1",Fe,Compressor,Unknown,2.75,0,3.5,18.5,0,0,0,0,0,1,0,0,7,53,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,36,0,7,1,8,9,0,,Unknown,
9-Jul-13,2013,Tuesday,"Bac, Wil",2,"CD, 9 Jul 13, 2",Co,Free,East of El Paisano,4,0,4.5,7.25,0,0,4.25,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Center,
9-Jul-13,2013,Tuesday,Rub,1,"CD, 9 Jul 13, 3",An,Free,Unknown,5,0,0,6.5,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
9-Jul-13,2013,Tuesday,"AriYol, ChiB",2,"CD, 9 Jul 13, 4",An,Compressor,Banco de Lulo,5,18.5,11.5,0,0,0,0,0,0,0,0,14,22,0,0,,,0,0,0,0,0,10,4,6,0,3,5,2,6,0,0,0,0,0,0,0,,Offshore,
9-Jul-13,2013,Tuesday,Nel,1,"CD, 9 Jul 13, 5, first",Co,Free,El Agua Honda,5.4,0,3.25,0,0,0,1.5,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,Center,
9-Jul-13,2013,Tuesday,Nya,1,"CD, 9 Jul 13, 5, second",Co,Free,La Banquera Seca,5.4,2.25,6.75,4.75,0,0,0,0,0,0,0,3,18,14,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,4,9,0,2,0,3,0,0,,Offshore,
9-Jul-13,2013,Tuesday,PedP,1,"CD, 9 Jul 13, 5, third",Co,Free,La Banquera Seca,5.4,0,3.5,9,0,0,0,0,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,16,0,2,0,3,6,0,,Offshore,
9-Jul-13,2013,Tuesday,Wan,1,"CD, 9 Jul 13, 5, fourth",Co,Free,La Banquera Seca,5.4,0,6,3.5,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,10,0,1,0,0,1,0,,Offshore,
9-Jul-13,2013,Tuesday,Onie,1,None,As,Free,La Banquera Seca,5.4,1,8,13.5,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Offshore,
9-Jul-13,2013,Tuesday,Cua,1,None,As,Free,La Banquera Seca,5.4,1.75,18,15,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Offshore,
9-Jul-13,2013,Tuesday,Fus,1,None,As,Free,La Banquera Seca,5.4,3.25,9,3,0,2,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Offshore,
9-Jul-13,2013,Tuesday,"Nan, Bet",2,None,As,Free,La Banquera Seca,5.4,14.5,21.5,13.75,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Offshore,
13-Jul-13,2013,Saturday,"Por, Bij, Mac",3,"CD, 13 Jul 13, 1",Fe,Compressor,Punto de Cayo,3.33,2,7.4,9,0,0,2,0,6,0,0,2,16,27,0,0,4,0,2,2,0,1,1,0,5,2,4,2,2,1,18,0,4,1,2,3,0,,Center,
13-Jul-13,2013,Saturday,Arg,1,"CD, 13 Jul 13, 2",Fe,Compressor,Suberano,4.33,6.75,7,14,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
13-Jul-13,2013,Saturday,"Nan, Bet",2,"CD, 13 Jul 13, 3",As,Free,La Cordillera de Afuera,4.75,7,16.5,6.75,4,1,0,0,0,0,0,6,28,21,8,1,0,0,0,0,0,1,5,0,20,0,5,0,2,1,21,0,0,0,0,0,0,,Offshore,
13-Jul-13,2013,Saturday,"Car, Gua",2,"CD, 13 Jul 13, 4",An,Compressor,La Pasa Silla de Caballo,5.5,8,19,13,0,0,3,0,18.5,0,0,8,33,37,0,0,5,0,5,0,0,2,6,0,20,0,0,5,1,7,24,2,0,2,3,6,0,,Western,
13-Jul-13,2013,Saturday,"AriYol, ChiB, Mell",3,"CD, 13 Jul 13, 5",An,Compressor,La Cordillera de Afuera,6,14,11.5,109,0,1.25,3.75,0,6,0,0,19,19,443,0,1,6,0,2,0,0,2,16,1,12,0,4,1,0,2,280,10,22,4,109,20,0,,Western,
15-Jul-13,2013,Monday,"Edd, Cuj, ?",3,None,None,Offshore,Unknown,2.5,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
15-Jul-13,2013,Monday,PedCh,1,"CD, 15 Jul 13, 1",Co,Free,Paisano to BH beach,0,2,4,5,0,0,1.2,2.66,0,0,0,1,11,22,0,0,2,8,0,0,0,0,1,0,7,0,3,0,0,1,11,1,4,0,5,1,0,,Center,
15-Jul-13,2013,Monday,Dav,1,"CD, 15 Jul 13, 2, first",He,Free,El Cayito,5,0,0,0,0,0,0.5,11,0,0.5,0,,,,0,,,30,,,,,,,,,,,,,,,,,,,0,,Center,
15-Jul-13,2013,Monday,Ars,1,"CD, 15 Jul 13, 2, second",He,Free,La Pasita,5,0,0,0,0,0,0,13.75,0,0.5,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,Center,
15-Jul-13,2013,Monday,"Nan, Bet",2,"CD, 15 Jul 13, 3",As,Free,Pasa del Colorado,6,19.5,19.75,8,2.75,0,0,0,3,0,0,16,31,9,5,0,0,0,1,0,0,8,6,2,21,2,1,0,4,3,9,0,0,0,0,3,0,,Eastern,
